total_area (km2),population,densities,traffic_density_encoded,green_open_space,hdi,gross_regional_domestic_product,total_landfills,solid_waste_generated,happiness_score
-1.3898128599614432,-0.33732122455674135,-0.2702800345511663,-0.11095788188149314,0.3119330470888132,0.13879497307502886,0.2115755266719376,0.3535304941796975,0.11721222609825753,72.37
-1.14981159905461,-0.3114908089500667,-0.2982945194216615,-0.10902981373863245,0.2035797895367072,0.16190833026272347,0.06981310256233891,0.31558793717575867,0.07988370461595097,72.54
-1.045806001227195,-0.3940056624732079,-0.11173780096467185,-0.09521528214157572,0.38643544820038395,0.08442799531736234,-0.1446772975863412,0.2355471705756129,0.10473083302985525,72.38
-0.46356118656239254,-0.4426190987965388,-0.022156863288731822,-0.06739627218655776,0.39274384952216074,0.08656280222831968,-0.4074794846360097,-0.5136150042551821,0.11169924236718289,71.38
-0.9014225576574082,-0.45326643724443816,0.022132819003843944,-0.08453270831491387,0.5476534073777144,0.023409590884251194,-0.28159348932916173,0.1393960002933774,0.19196193818318863,72.36
-0.26763673425957785,-0.11768215556447999,0.02978402159855671,-0.059981472864007526,0.235033378155279,-0.19612458975750222,-0.4811403095781039,-0.3587802309530824,0.0400584136950149,72.91
-0.271286193756058,-0.09171842715378369,-0.03335637469161828,-0.06481778133793076,0.16820943544785,-0.16954860026651355,-0.4075996757164942,-0.299096493972457,-0.0021902155169331032,73.03
-0.23361701791426215,0.05283019705587171,-0.3074376378666888,-0.08773309533006746,-0.14473376949397057,-0.06318891279334365,-0.25689774107653973,-0.028946505228171795,0.020775233529624793,70.79
-1.268993300032057,-0.3203549012170535,-0.29765928674946374,-0.1104999014889896,0.24988232972584032,0.15755064066037794,0.1707505061237712,0.31392090180171556,0.09403733486569087,71.79
-1.3474741002234796,-0.2667491353843433,-0.13766601487017238,-0.09791485982880173,0.40216124319911284,0.21911705137046597,0.10816276707321576,0.33467083814631654,0.13159631581309786,71.92
-0.8951768338266657,-0.3763739759092494,-0.14357856639737301,-0.09616740166590204,0.32985902560899616,0.10089357661866152,-0.17219024415733217,0.2301863096129109,0.08698423029325242,72.63
-1.1043711420598006,-0.3960266523932928,-0.10943490236441097,-0.09690179519358727,0.44099217949894454,0.07393259095725711,-0.07584135135561859,0.273351904238683,0.17620938529950647,76.15
-1.2166353676338542,0.6609379390978477,0.3023249387425362,-0.04465262368906997,0.3369175769519893,-1.0877437709826931,0.09352452150231837,0.16112907461151513,0.049914050059901564,72.21
-0.9463138433811863,-0.5298793583607849,0.1833637103151052,-0.07519910675239665,0.7111469587387024,-0.0440286706937209,-0.41684405159814314,0.13462898380208554,0.16326646449974397,74.78
0.9864877914556607,-0.8193061783793479,3.4293013577989435,0.48994255971490736,0.06053506729544635,-1.3841111912751316,0.23956699103648854,-0.3382046399974994,-0.12341223858857371,73.76
-0.9443220267803787,-0.6773979920714102,0.4807004659215226,-0.05429535590008006,1.088049592753179,-0.17078773234713146,-0.5480957772457516,0.07338968860789573,0.17170734833901852,70.92
-0.5602513940551536,-0.5838697320088095,0.5363301214836043,-0.039539990161709886,1.0543716711647069,-0.04696117121338119,-0.6322930880772778,-0.006600428466301833,0.04324817261620913,72.96
-0.09434286819109745,-0.33830659661796225,0.4215680857924659,-0.021928089371792414,0.7813753122545438,-0.34846540241238305,-0.4941446175411547,-0.6253772559579893,-0.05418248466485178,70.69
-1.4767259569401003,-0.2114522735325504,-0.550809793056833,-0.1311474381741641,0.02579111974773361,0.25952294070904525,0.5213304077418777,0.4974493775610367,0.04559273903452709,71.09
-0.5238824533930004,0.09069902302113503,-0.4260689974903732,-0.09432842053414378,-0.23939324820357116,-0.008230169320800491,-0.017573819628478603,-0.09918276732806587,-0.02751435501985483,71.33
